Values,Timestamp,1000 MA,5000 MA
97,26-06-2024 09:57,#N/A,#N/A
98,26-06-2024 09:57,#N/A,#N/A
98,26-06-2024 09:57,#N/A,#N/A
98,26-06-2024 09:58,#N/A,#N/A
98,26-06-2024 09:58,#N/A,#N/A
97,26-06-2024 09:58,#N/A,#N/A
97,26-06-2024 09:59,#N/A,#N/A
97,26-06-2024 09:59,#N/A,#N/A
97,26-06-2024 09:59,#N/A,#N/A
97,26-06-2024 09:59,#N/A,#N/A
97,26-06-2024 10:00,#N/A,#N/A
97,26-06-2024 10:00,#N/A,#N/A
97,26-06-2024 10:00,#N/A,#N/A
97,26-06-2024 10:00,#N/A,#N/A
97,26-06-2024 10:00,#N/A,#N/A
97,26-06-2024 10:01,#N/A,#N/A
97,26-06-2024 10:01,#N/A,#N/A
97,26-06-2024 10:01,#N/A,#N/A
97,26-06-2024 10:02,#N/A,#N/A
97,26-06-2024 10:02,#N/A,#N/A
97,26-06-2024 10:02,#N/A,#N/A
97,26-06-2024 10:02,#N/A,#N/A
97,26-06-2024 10:03,#N/A,#N/A
97,26-06-2024 10:03,#N/A,#N/A
97,26-06-2024 10:03,#N/A,#N/A
97,26-06-2024 10:03,#N/A,#N/A
97,26-06-2024 10:03,#N/A,#N/A
97,26-06-2024 10:04,#N/A,#N/A
97,26-06-2024 10:04,#N/A,#N/A
97,26-06-2024 10:04,#N/A,#N/A
97,26-06-2024 10:05,#N/A,#N/A
97,26-06-2024 10:05,#N/A,#N/A
97,26-06-2024 10:05,#N/A,#N/A
97,26-06-2024 10:05,#N/A,#N/A
97,26-06-2024 10:05,#N/A,#N/A
97,26-06-2024 10:06,#N/A,#N/A
97,26-06-2024 10:06,#N/A,#N/A
97,26-06-2024 10:06,#N/A,#N/A
97,26-06-2024 10:07,#N/A,#N/A
97,26-06-2024 10:07,#N/A,#N/A
97,26-06-2024 10:07,#N/A,#N/A
97,26-06-2024 10:07,#N/A,#N/A
97,26-06-2024 10:08,#N/A,#N/A
97,26-06-2024 10:08,#N/A,#N/A
97,26-06-2024 10:08,#N/A,#N/A
97,26-06-2024 10:08,#N/A,#N/A
97,26-06-2024 10:08,#N/A,#N/A
97,26-06-2024 10:09,#N/A,#N/A
97,26-06-2024 10:09,#N/A,#N/A
97,26-06-2024 10:09,#N/A,#N/A
97,26-06-2024 10:10,#N/A,#N/A
97,26-06-2024 10:10,#N/A,#N/A
97,26-06-2024 10:10,#N/A,#N/A
97,26-06-2024 10:10,#N/A,#N/A
96,26-06-2024 10:11,#N/A,#N/A
96,26-06-2024 10:11,#N/A,#N/A
96,26-06-2024 10:11,#N/A,#N/A
96,26-06-2024 10:11,#N/A,#N/A
96,26-06-2024 10:11,#N/A,#N/A
96,26-06-2024 10:12,#N/A,#N/A
96,26-06-2024 10:12,#N/A,#N/A
96,26-06-2024 10:12,#N/A,#N/A
96,26-06-2024 10:13,#N/A,#N/A
96,26-06-2024 10:13,#N/A,#N/A
96,26-06-2024 10:13,#N/A,#N/A
96,26-06-2024 10:13,#N/A,#N/A
96,26-06-2024 10:14,#N/A,#N/A
96,26-06-2024 10:14,#N/A,#N/A
96,26-06-2024 10:14,#N/A,#N/A
96,26-06-2024 10:14,#N/A,#N/A
96,26-06-2024 10:14,#N/A,#N/A
96,26-06-2024 10:15,#N/A,#N/A
96,26-06-2024 10:15,#N/A,#N/A
96,26-06-2024 10:15,#N/A,#N/A
96,26-06-2024 10:16,#N/A,#N/A
96,26-06-2024 10:16,#N/A,#N/A
96,26-06-2024 10:16,#N/A,#N/A
96,26-06-2024 10:16,#N/A,#N/A
96,26-06-2024 10:17,#N/A,#N/A
96,26-06-2024 10:17,#N/A,#N/A
96,26-06-2024 10:17,#N/A,#N/A
96,26-06-2024 10:17,#N/A,#N/A
96,26-06-2024 10:17,#N/A,#N/A
96,26-06-2024 10:18,#N/A,#N/A
96,26-06-2024 10:18,#N/A,#N/A
96,26-06-2024 10:18,#N/A,#N/A
96,26-06-2024 10:19,#N/A,#N/A
96,26-06-2024 10:19,#N/A,#N/A
96,26-06-2024 10:19,#N/A,#N/A
96,26-06-2024 10:19,#N/A,#N/A
96,26-06-2024 10:20,#N/A,#N/A
96,26-06-2024 10:20,#N/A,#N/A
96,26-06-2024 10:20,#N/A,#N/A
96,26-06-2024 10:20,#N/A,#N/A
96,26-06-2024 10:21,#N/A,#N/A
96,26-06-2024 10:21,#N/A,#N/A
96,26-06-2024 10:21,#N/A,#N/A
96,26-06-2024 10:21,#N/A,#N/A
96,26-06-2024 10:22,#N/A,#N/A
96,26-06-2024 10:22,#N/A,#N/A
96,26-06-2024 10:22,#N/A,#N/A
96,26-06-2024 10:22,#N/A,#N/A
96,26-06-2024 10:22,#N/A,#N/A
96,26-06-2024 10:23,#N/A,#N/A
96,26-06-2024 10:23,#N/A,#N/A
96,26-06-2024 10:23,#N/A,#N/A
96,26-06-2024 10:24,#N/A,#N/A
96,26-06-2024 10:24,#N/A,#N/A
96,26-06-2024 10:24,#N/A,#N/A
96,26-06-2024 10:24,#N/A,#N/A
96,26-06-2024 10:25,#N/A,#N/A
96,26-06-2024 10:25,#N/A,#N/A
96,26-06-2024 10:25,#N/A,#N/A
96,26-06-2024 10:25,#N/A,#N/A
96,26-06-2024 10:25,#N/A,#N/A
96,26-06-2024 10:26,#N/A,#N/A
96,26-06-2024 10:26,#N/A,#N/A
96,26-06-2024 10:26,#N/A,#N/A
96,26-06-2024 10:27,#N/A,#N/A
96,26-06-2024 10:27,#N/A,#N/A
96,26-06-2024 10:27,#N/A,#N/A
96,26-06-2024 10:27,#N/A,#N/A
96,26-06-2024 10:28,#N/A,#N/A
96,26-06-2024 10:28,#N/A,#N/A
96,26-06-2024 10:28,#N/A,#N/A
96,26-06-2024 10:29,#N/A,#N/A
96,26-06-2024 10:29,#N/A,#N/A
96,26-06-2024 10:29,#N/A,#N/A
96,26-06-2024 10:30,#N/A,#N/A
96,26-06-2024 10:30,#N/A,#N/A
96,26-06-2024 10:30,#N/A,#N/A
96,26-06-2024 10:30,#N/A,#N/A
96,26-06-2024 10:31,#N/A,#N/A
96,26-06-2024 10:31,#N/A,#N/A
96,26-06-2024 10:31,#N/A,#N/A
96,26-06-2024 10:32,#N/A,#N/A
96,26-06-2024 10:32,#N/A,#N/A
96,26-06-2024 10:32,#N/A,#N/A
